Id,Neighborhood,HouseStyle,YearBuilt,Exterior1st,ExterQual,Functional,MoSold,SaleType,SaleCondition,SalePrice
23,CollgCr,1Story,2002,VinylSd,Gd,Typ,9,WD,Normal,230000
33,CollgCr,1Story,2007,VinylSd,Gd,Typ,1,WD,Normal,179900
37,CollgCr,1Story,1994,VinylSd,TA,Typ,6,WD,Normal,145000
44,CollgCr,1Story,1975,VinylSd,TA,Typ,7,WD,Normal,130250
68,CollgCr,1Story,2003,VinylSd,Gd,Typ,6,WD,Normal,226000
90,CollgCr,1Story,1994,VinylSd,TA,Typ,8,WD,Normal,123600
97,CollgCr,1Story,1999,VinylSd,Gd,Typ,8,WD,Normal,214000
104,CollgCr,1Story,2009,VinylSd,TA,Typ,5,WD,Normal,198900
142,CollgCr,1Story,2005,VinylSd,Gd,Typ,1,WD,Normal,260000
144,CollgCr,1Story,1999,VinylSd,Gd,Typ,6,WD,Normal,204000
193,CollgCr,1Story,1999,VinylSd,Gd,Typ,9,WD,Normal,192000
204,CollgCr,1Story,2004,VinylSd,Gd,Typ,1,WD,Normal,149000
214,CollgCr,1Story,1995,VinylSd,TA,Typ,7,WD,Normal,156000
217,CollgCr,1Story,2004,VinylSd,Gd,Typ,4,WD,Normal,210000
237,CollgCr,1Story,2004,VinylSd,Gd,Typ,5,WD,Normal,185500
303,CollgCr,1Story,2001,VinylSd,Gd,Typ,1,WD,Normal,205000
338,CollgCr,1Story,2002,VinylSd,Gd,Typ,12,WD,Normal,214000
356,CollgCr,1Story,1995,VinylSd,Gd,Typ,8,WD,Normal,177500
389,CollgCr,1Story,1999,VinylSd,Gd,Typ,7,WD,Normal,191000
477,CollgCr,1Story,1997,VinylSd,TA,Typ,4,WD,Normal,208900
479,CollgCr,1Story,2007,VinylSd,Gd,Typ,9,WD,Normal,297000
540,CollgCr,1Story,2001,VinylSd,Gd,Typ,5,WD,Normal,272000
594,CollgCr,1Story,2003,VinylSd,Gd,Typ,5,WD,Normal,140000
605,CollgCr,1Story,2002,VinylSd,Gd,Typ,9,WD,Normal,221000
607,CollgCr,1Story,1996,VinylSd,TA,Typ,11,WD,Normal,152000
684,CollgCr,1Story,2002,VinylSd,Gd,Typ,7,WD,Normal,285000
691,CollgCr,1Story,2004,VinylSd,Gd,Typ,5,WD,Normal,141000
705,CollgCr,1Story,2004,VinylSd,Gd,Typ,5,WD,Normal,213000
722,CollgCr,1Story,2004,VinylSd,Gd,Typ,5,WD,Normal,143000
728,CollgCr,1Story,2007,VinylSd,Gd,Typ,2,WD,Normal,194500
753,CollgCr,1Story,1997,VinylSd,TA,Typ,7,WD,Normal,217000
769,CollgCr,1Story,2004,VinylSd,Gd,Typ,10,WD,Normal,216837
783,CollgCr,1Story,2001,VinylSd,Gd,Typ,6,WD,Normal,187100
816,CollgCr,1Story,1998,VinylSd,TA,Typ,5,WD,Normal,224900
839,CollgCr,1Story,1995,VinylSd,TA,Typ,6,WD,Normal,144000
851,CollgCr,1Story,2003,VinylSd,Gd,Typ,11,WD,Normal,131500
880,CollgCr,1Story,1978,VinylSd,Gd,Typ,7,WD,Normal,136500
929,CollgCr,1Story,2001,VinylSd,Gd,Typ,6,WD,Normal,236500
934,CollgCr,1Story,2004,VinylSd,Gd,Typ,8,WD,Normal,190000
959,CollgCr,1Story,2003,VinylSd,Gd,Typ,10,WD,Normal,185000
964,CollgCr,1Story,2007,VinylSd,Gd,Typ,5,WD,Normal,239000
1000,CollgCr,1Story,2006,VinylSd,Gd,Typ,2,WD,Normal,206000
1017,CollgCr,1Story,1996,VinylSd,Gd,Typ,6,WD,Normal,203000
1026,CollgCr,1Story,1972,VinylSd,TA,Typ,3,WD,Normal,112500
1034,CollgCr,1Story,2002,VinylSd,Gd,Typ,2,WD,Normal,230000
1048,CollgCr,1Story,1994,VinylSd,TA,Typ,2,WD,Normal,145000
1075,CollgCr,1Story,2006,VinylSd,Gd,Typ,5,WD,Normal,194000
1079,CollgCr,1Story,2004,VinylSd,Gd,Typ,5,WD,Normal,155900
1080,CollgCr,1Story,1994,VinylSd,TA,Typ,4,WD,Normal,126000
1083,CollgCr,1Story,2002,VinylSd,Gd,Typ,9,WD,Normal,192000
1096,CollgCr,1Story,2006,VinylSd,Gd,Typ,3,WD,Normal,176432
1167,CollgCr,1Story,2008,VinylSd,Gd,Typ,2,WD,Normal,245350
1199,CollgCr,1Story,2001,VinylSd,Gd,Typ,6,WD,Normal,178000
1204,CollgCr,1Story,2000,VinylSd,Gd,Typ,10,WD,Normal,213000
1208,CollgCr,1Story,2003,VinylSd,Gd,Typ,5,WD,Normal,200000
1281,CollgCr,1Story,2002,VinylSd,Gd,Typ,3,WD,Normal,227000
1308,CollgCr,1Story,1994,VinylSd,TA,Typ,5,WD,Normal,138000
1317,CollgCr,1Story,2008,VinylSd,Gd,Typ,1,WD,Normal,295493
1319,CollgCr,1Story,2001,VinylSd,Gd,Typ,8,WD,Normal,275000
1369,CollgCr,1Story,2003,VinylSd,Gd,Typ,6,WD,Normal,144000
1370,CollgCr,1Story,2003,VinylSd,Gd,Typ,5,WD,Normal,232000
1391,CollgCr,1Story,2000,VinylSd,Gd,Typ,9,WD,Normal,235000
1423,CollgCr,1Story,2003,VinylSd,Gd,Typ,3,WD,Normal,136500
1442,CollgCr,1Story,2004,VinylSd,Gd,Typ,5,WD,Normal,149300
1445,CollgCr,1Story,2004,VinylSd,Gd,Typ,11,WD,Normal,179600
7,Somerst,1Story,2004,VinylSd,Gd,Typ,8,WD,Normal,307000
19,SawyerW,1Story,2004,VinylSd,TA,Typ,6,WD,Normal,159000
26,NridgHt,1Story,2007,VinylSd,Gd,Typ,7,WD,Normal,256300
28,NridgHt,1Story,2007,VinylSd,Gd,Typ,5,WD,Normal,306000
42,Timber,1Story,1959,VinylSd,TA,Typ,7,WD,Normal,170000
48,Somerst,1Story,2006,VinylSd,Gd,Typ,7,WD,Normal,249700
63,NridgHt,1Story,2006,VinylSd,Gd,Typ,10,WD,Normal,202500
77,NAmes,1Story,1956,VinylSd,TA,Typ,4,WD,Normal,135750
82,Mitchel,1Story,1998,VinylSd,TA,Typ,3,WD,Normal,153500
83,Somerst,1Story,2007,VinylSd,TA,Typ,10,WD,Normal,245000
107,OldTown,1Story,1885,VinylSd,TA,Typ,8,WD,Normal,100000
134,Timber,1Story,2001,VinylSd,Gd,Typ,6,WD,Normal,220000
149,SawyerW,1Story,2004,VinylSd,TA,Typ,4,WD,Normal,141000
200,NridgHt,1Story,2004,VinylSd,Gd,Typ,1,WD,Normal,274900
201,Edwards,1Story,2003,VinylSd,TA,Typ,3,WD,Normal,140000
212,Edwards,1Story,2009,VinylSd,TA,Typ,3,WD,Normal,186000
225,NridgHt,1Story,2003,VinylSd,Ex,Typ,6,WD,Normal,386250
230,Blmngtn,1Story,2005,VinylSd,Gd,Typ,5,WD,Normal,192500
241,Somerst,1Story,2008,VinylSd,Gd,Typ,4,WD,Normal,262500
242,OldTown,1Story,1945,VinylSd,TA,Typ,8,WD,Normal,110500
269,IDOTRR,1Story,1940,VinylSd,TA,Typ,2,WD,Normal,120500
277,Mitchel,1Story,2003,VinylSd,Gd,Typ,4,WD,Normal,201000
278,Gilbert,1Story,1951,VinylSd,TA,Typ,6,WD,Normal,141000
309,Edwards,1Story,1940,VinylSd,TA,Typ,3,WD,Normal,82500
310,NridgHt,1Story,2003,VinylSd,Gd,Typ,11,WD,Normal,360000
312,NAmes,1Story,1948,VinylSd,TA,Typ,5,WD,Normal,132000
324,OldTown,1Story,1955,VinylSd,TA,Typ,7,WD,Normal,126175
333,NridgHt,1Story,2003,VinylSd,Gd,Typ,10,WD,Normal,284000
334,NridgHt,1Story,2004,VinylSd,Gd,Typ,7,WD,Normal,207000
337,StoneBr,1Story,2005,VinylSd,Gd,Typ,7,WD,Normal,377426
354,OldTown,1Story,1928,VinylSd,TA,Typ,5,WD,Normal,105900
386,Blmngtn,1Story,2004,VinylSd,Gd,Typ,4,WD,Normal,192000
420,NAmes,1Story,1968,VinylSd,TA,Typ,7,WD,Normal,142000
441,NridgHt,1Story,2008,VinylSd,Ex,Typ,4,WD,Normal,555000
442,Edwards,1Story,1955,VinylSd,TA,Typ,9,WD,Normal,118000
466,Blmngtn,1Story,2004,VinylSd,Gd,Typ,5,WD,Normal,178740
469,NridgHt,1Story,2006,VinylSd,Gd,Typ,5,WD,Normal,250000
481,NridgHt,1Story,2004,VinylSd,Gd,Typ,3,WD,Normal,326000
482,NridgHt,1Story,2003,VinylSd,Gd,Typ,8,WD,Normal,374000
484,Mitchel,1Story,1998,VinylSd,TA,Typ,5,WD,Normal,164000
513,NAmes,1Story,1958,VinylSd,TA,Typ,7,WD,Normal,129900
514,Mitchel,1Story,1983,VinylSd,TA,Typ,6,WD,Normal,134000
522,NAmes,1Story,1957,VinylSd,TA,Typ,5,WD,Normal,150000
526,Somerst,1Story,2005,VinylSd,Gd,Typ,4,WD,Normal,176000
534,BrkSide,1Story,1946,VinylSd,Fa,Typ,1,WD,Normal,39300
541,Timber,1Story,2006,VinylSd,Ex,Typ,3,WD,Normal,315000
553,NridgHt,1Story,2006,VinylSd,Gd,Typ,7,WD,Normal,255500
554,Edwards,1Story,1949,VinylSd,TA,Typ,5,WD,Normal,108000
560,Blmngtn,1Story,2003,VinylSd,Gd,Typ,10,WD,Normal,234000
568,NridgHt,1Story,2004,VinylSd,Gd,Typ,3,WD,Normal,214000
590,BrkSide,1Story,1930,VinylSd,TA,Typ,8,WD,Normal,79500
610,Sawyer,1Story,1961,VinylSd,TA,Typ,4,WD,Normal,118500
632,NridgHt,1Story,2006,VinylSd,Gd,Typ,8,WD,Normal,209500
678,OldTown,1Story,1924,VinylSd,Gd,Typ,5,WD,Normal,109500
690,NridgHt,1Story,2005,VinylSd,Gd,Typ,6,WD,Normal,194700
701,Timber,1Story,2002,VinylSd,Gd,Typ,5,WD,Normal,312500
743,SawyerW,1Story,2000,VinylSd,TA,Typ,12,WD,Normal,179000
749,NoRidge,1Story,1996,VinylSd,Gd,Typ,3,WD,Normal,260400
776,Mitchel,1Story,1998,VinylSd,TA,Typ,6,WD,Normal,162000
791,Blmngtn,1Story,2005,VinylSd,Gd,Typ,9,WD,Normal,160200
828,SawyerW,1Story,2001,VinylSd,Gd,Typ,4,WD,Normal,189000
835,NAmes,1Story,1961,VinylSd,TA,Typ,9,WD,Normal,139950
852,Blmngtn,1Story,2003,VinylSd,Gd,Typ,5,WD,Normal,215000
868,Sawyer,1Story,1961,VinylSd,TA,Typ,5,WD,Normal,129000
881,Edwards,1Story,2005,VinylSd,TA,Typ,6,WD,Normal,157000
907,Somerst,1Story,2006,VinylSd,Gd,Typ,6,WD,Normal,255000
918,Edwards,1Story,1956,VinylSd,TA,Typ,4,WD,Normal,135000
931,Timber,1Story,2007,VinylSd,Gd,Typ,7,WD,Normal,201000
932,NAmes,1Story,1965,VinylSd,TA,Typ,7,WD,Normal,117500
933,Somerst,1Story,2006,VinylSd,Ex,Typ,3,WD,Normal,320000
937,SawyerW,1Story,2003,VinylSd,Gd,Typ,8,WD,Normal,184900
948,Timber,1Story,2002,VinylSd,Gd,Typ,11,WD,Normal,270000
951,NAmes,1Story,1950,VinylSd,TA,Typ,7,WD,Normal,129000
980,Sawyer,1Story,1963,VinylSd,TA,Typ,6,WD,Normal,139000
983,Blmngtn,1Story,2007,VinylSd,Gd,Typ,3,WD,Normal,159895
1003,Somerst,1Story,2006,VinylSd,Gd,Typ,7,WD,Normal,232000
1004,NWAmes,1Story,1976,VinylSd,TA,Typ,6,WD,Normal,136905
1005,Blmngtn,1Story,2005,VinylSd,Gd,Typ,5,WD,Normal,181000
1009,Mitchel,1Story,2004,VinylSd,Gd,Typ,4,WD,Normal,240000
1020,Blmngtn,1Story,2005,VinylSd,Gd,Typ,4,WD,Normal,213490
1021,Edwards,1Story,2005,VinylSd,TA,Typ,6,WD,Normal,176000
1024,Blmngtn,1Story,2005,VinylSd,Gd,Typ,5,WD,Normal,191000
1037,Timber,1Story,2007,VinylSd,Gd,Typ,9,WD,Normal,315500
1043,NridgHt,1Story,2005,VinylSd,Gd,Typ,8,WD,Normal,196000
1057,NridgHt,1Story,2005,VinylSd,Gd,Typ,6,WD,Normal,185850
1118,Sawyer,1Story,1967,VinylSd,TA,Typ,5,WD,Normal,130000
1124,Edwards,1Story,1947,VinylSd,TA,Typ,6,WD,Normal,118000
1127,Blmngtn,1Story,2007,VinylSd,Gd,Typ,6,WD,Normal,174000
1158,NridgHt,1Story,2007,VinylSd,Gd,Typ,7,WD,Normal,230000
1163,Sawyer,1Story,1968,VinylSd,TA,Typ,5,WD,Normal,129000
1194,Mitchel,1Story,1999,VinylSd,TA,Typ,6,WD,Normal,165000
1216,Sawyer,1Story,1966,VinylSd,TA,Typ,5,WD,Normal,125000
1228,NAmes,1Story,1965,VinylSd,TA,Typ,12,WD,Normal,147000
1240,Timber,1Story,2006,VinylSd,Gd,Typ,12,WD,Normal,265900
1252,NridgHt,1Story,2003,VinylSd,Gd,Typ,3,WD,Normal,171750
1304,Somerst,1Story,2005,VinylSd,Gd,Typ,4,WD,Normal,232000
1306,NridgHt,1Story,2006,VinylSd,Gd,Typ,11,WD,Normal,325000
1322,BrkSide,1Story,1949,VinylSd,TA,Typ,7,WD,Normal,72500
1324,BrkSide,1Story,1940,VinylSd,Fa,Typ,12,WD,Normal,82500
1328,Mitchel,1Story,1982,VinylSd,Gd,Typ,10,WD,Normal,130500
1331,Somerst,1Story,2006,VinylSd,Gd,Typ,12,WD,Normal,227000
1342,SawyerW,1Story,2003,VinylSd,TA,Typ,7,WD,Normal,155000
1349,SawyerW,1Story,1998,VinylSd,Gd,Typ,8,WD,Normal,215000
1358,NAmes,1Story,1971,VinylSd,TA,Typ,4,WD,Normal,149900
1360,NridgHt,1Story,2004,VinylSd,Gd,Typ,9,WD,Normal,315000
1362,StoneBr,1Story,2005,VinylSd,Gd,Typ,6,WD,Normal,260000
1374,NoRidge,1Story,2001,VinylSd,Ex,Typ,3,WD,Normal,466500
1389,Gilbert,1Story,2006,VinylSd,Ex,Typ,10,WD,Normal,377500
1404,Somerst,1Story,2007,VinylSd,Gd,Typ,8,WD,Normal,282922
1416,Blmngtn,1Story,2007,VinylSd,Gd,Typ,5,WD,Normal,175900
1455,Somerst,1Story,2004,VinylSd,Gd,Typ,10,WD,Normal,185000
35,NridgHt,1Story,2005,MetalSd,Ex,Typ,8,WD,Normal,277500
46,NridgHt,1Story,2005,MetalSd,Ex,Typ,2,WD,Normal,319900
53,IDOTRR,1Story,1963,Wd Sdng,Fa,Typ,5,WD,Normal,110000
54,Veenker,1Story,1981,WdShing,Gd,Typ,11,WD,Normal,385000
124,SawyerW,1Story,1993,Plywood,Gd,Typ,3,WD,Normal,153900
170,Timber,1Story,1981,Plywood,Gd,Typ,1,WD,Normal,228000
180,OldTown,1Story,1923,Wd Sdng,Gd,Typ,7,WD,Normal,100000
190,StoneBr,1Story,2001,CemntBd,Gd,Typ,8,WD,Normal,286000
285,SawyerW,1Story,1992,Plywood,Gd,Typ,7,WD,Normal,179200
306,CollgCr,1Story,2004,CemntBd,Gd,Typ,7,WD,Normal,305900
339,NWAmes,1Story,1984,Wd Sdng,Gd,Typ,5,WD,Normal,202500
342,SawyerW,1Story,1950,Wd Sdng,Fa,Typ,9,WD,Normal,82000
344,NridgHt,1Story,2005,MetalSd,Ex,Typ,7,WD,Normal,266000
401,Veenker,1Story,1996,BrkFace,Gd,Typ,12,WD,Normal,245500
422,NWAmes,1Story,1977,CemntBd,Gd,Typ,6,WD,Normal,215000
471,StoneBr,1Story,1985,HdBoard,Gd,Typ,6,WD,Normal,212000
475,StoneBr,1Story,2000,CemntBd,Gd,Typ,8,WD,Normal,251000
486,NAmes,1Story,1950,MetalSd,Gd,Typ,7,WD,Normal,147000
497,NoRidge,1Story,1992,BrkFace,Gd,Typ,5,WD,Normal,430000
641,NridgHt,1Story,2003,MetalSd,Ex,Typ,4,WD,Normal,274000
655,NoRidge,1Story,1995,MetalSd,Gd,Typ,8,WD,Normal,350000
657,NAmes,1Story,1959,HdBoard,Gd,Typ,8,WD,Normal,145500
673,Veenker,1Story,1977,Plywood,Gd,Typ,6,WD,Normal,165000
700,Somerst,1Story,2004,MetalSd,Gd,Typ,7,WD,Normal,196000
708,NridgHt,1Story,2006,MetalSd,Gd,Typ,12,WD,Normal,254000
713,StoneBr,1Story,1988,HdBoard,Gd,Typ,10,WD,Normal,189000
721,StoneBr,1Story,1985,HdBoard,Gd,Typ,12,WD,Normal,275000
725,Edwards,1Story,2007,CemntBd,Ex,Typ,2,WD,Normal,320000
727,Crawfor,1Story,1988,Wd Sdng,Gd,Typ,12,WD,Normal,222000
731,StoneBr,1Story,1995,CemntBd,Gd,Typ,3,WD,Normal,236500
745,StoneBr,1Story,1993,HdBoard,Gd,Typ,10,WD,Normal,180000
765,Veenker,1Story,1995,BrkFace,Gd,Typ,4,WD,Normal,270000
818,Mitchel,1Story,2002,CemntBd,Gd,Typ,7,WD,Normal,271000
873,NAmes,1Story,1953,WdShing,Gd,Typ,10,WD,Normal,116000
874,NAmes,1Story,1949,HdBoard,Gd,Typ,9,WD,Normal,133000
889,NAmes,1Story,1970,Wd Sdng,Gd,Typ,10,WD,Normal,268000
924,SawyerW,1Story,1993,Plywood,Gd,Typ,7,WD,Normal,193000
995,NridgHt,1Story,2006,CemntBd,Ex,Typ,7,WD,Normal,337500
1045,NWAmes,1Story,1981,BrkFace,Gd,Typ,7,WD,Normal,278000
1061,StoneBr,1Story,2001,CemntBd,Gd,Typ,4,WD,Normal,213500
1090,Somerst,1Story,2005,MetalSd,Gd,Typ,4,WD,Normal,197000
1098,StoneBr,1Story,1986,HdBoard,Gd,Typ,10,WD,Normal,170000
1107,SawyerW,1Story,1990,HdBoard,Gd,Typ,5,WD,Normal,179900
1110,NridgHt,1Story,2004,MetalSd,Gd,Typ,3,WD,Normal,280000
1147,SawyerW,1Story,1985,Wd Sdng,Gd,Typ,5,WD,Normal,180000
1154,IDOTRR,1Story,1930,Wd Sdng,Gd,Typ,6,WD,Normal,120500
1156,Veenker,1Story,1976,Plywood,Gd,Typ,7,WD,Normal,218000
1162,Crawfor,1Story,1954,HdBoard,Gd,Typ,11,WD,Normal,224000
1188,NoRidge,1Story,1994,ImStucc,Gd,Typ,7,WD,Normal,262000
1206,SawyerW,1Story,1990,HdBoard,Gd,Typ,6,WD,Normal,271900
1251,NAmes,1Story,1968,BrkFace,Gd,Typ,4,WD,Normal,244000
1257,NoRidge,1Story,1994,HdBoard,Gd,Typ,8,WD,Normal,301500
1268,Timber,1Story,2008,Stucco,Ex,Typ,5,WD,Normal,378500
1271,ClearCr,1Story,1979,Plywood,Gd,Typ,4,WD,Normal,260000
1289,StoneBr,1Story,2000,CemntBd,Gd,Typ,10,WD,Normal,278000
1311,Crawfor,1Story,1959,BrkFace,Gd,Typ,5,WD,Normal,335000
1406,Crawfor,1Story,2004,CemntBd,Gd,Typ,1,WD,Normal,275000
1420,Crawfor,1Story,1969,Plywood,Gd,Typ,12,WD,Normal,223000
1426,NAmes,1Story,1959,HdBoard,Gd,Typ,10,WD,Normal,142000
1430,NWAmes,1Story,1981,MetalSd,Gd,Typ,4,WD,Normal,182900
1460,Edwards,1Story,1965,HdBoard,Gd,Typ,6,WD,Normal,147500
2,Veenker,1Story,1976,MetalSd,TA,Typ,5,WD,Normal,181500
18,Sawyer,1Story,1967,MetalSd,TA,Typ,10,WD,Normal,90000
24,MeadowV,1Story,1976,CemntBd,TA,Typ,6,WD,Normal,129900
25,Sawyer,1Story,1968,Plywood,TA,Typ,5,WD,Normal,154000
30,BrkSide,1Story,1927,MetalSd,TA,Typ,5,WD,Normal,68500
69,OldTown,1Story,1945,MetalSd,TA,Typ,6,WD,Normal,80000
93,Crawfor,1Story,1921,Wd Sdng,TA,Typ,8,WD,Normal,163500
101,NWAmes,1Story,1977,Plywood,TA,Typ,2,WD,Normal,205000
117,Sawyer,1Story,1962,Wd Sdng,TA,Typ,9,WD,Normal,139000
127,NPkVill,1Story,1976,Plywood,TA,Typ,2,WD,Normal,128000
136,NWAmes,1Story,1970,Plywood,TA,Typ,5,WD,Normal,174000
147,BrkSide,1Story,1931,Wd Sdng,TA,Typ,11,WD,Normal,105000
154,ClearCr,1Story,1960,BrkFace,TA,Typ,3,WD,Normal,235000
161,Veenker,1Story,1984,Plywood,TA,Typ,6,WD,Normal,162500
165,OldTown,1Story,1926,MetalSd,TA,Typ,10,WD,Normal,152000
176,Edwards,1Story,1950,WdShing,TA,Typ,6,WD,Normal,243000
183,Edwards,1Story,1957,Wd Sdng,TA,Typ,6,WD,Normal,120000
202,Mitchel,1Story,1977,Plywood,TA,Typ,2,WD,Normal,171500
211,Edwards,1Story,1925,Stucco,TA,Typ,4,WD,Normal,98000
246,NWAmes,1Story,1988,Wd Sdng,TA,Typ,6,WD,Normal,241500
260,OldTown,1Story,1956,BrkFace,TA,Typ,12,WD,Normal,97000
265,OldTown,1Story,1925,Wd Sdng,TA,Typ,6,WD,Normal,73000
266,NWAmes,1Story,1981,MetalSd,TA,Typ,6,WD,Normal,175500
289,Sawyer,1Story,1967,MetalSd,TA,Typ,2,WD,Normal,122000
301,Crawfor,1Story,1953,MetalSd,TA,Typ,6,WD,Normal,157000
314,Timber,1Story,1965,BrkFace,TA,Typ,6,WD,Normal,375000
358,MeadowV,1Story,1976,CemntBd,TA,Typ,8,WD,Normal,134000
373,SawyerW,1Story,1984,Plywood,TA,Typ,2,WD,Normal,125000
396,Edwards,1Story,1956,Wd Sdng,TA,Typ,6,WD,Normal,129000
397,CollgCr,1Story,1972,MetalSd,TA,Typ,9,WD,Normal,123000
403,Sawyer,1Story,1940,Wd Sdng,TA,Typ,8,WD,Normal,108000
412,Gilbert,1Story,1955,Wd Sdng,TA,Typ,1,WD,Normal,145000
414,OldTown,1Story,1927,WdShing,TA,Typ,3,WD,Normal,115000
439,Crawfor,1Story,1913,WdShing,TA,Typ,3,WD,Normal,90350
451,OldTown,1Story,1930,Wd Sdng,TA,Typ,6,WD,Normal,110000
452,ClearCr,1Story,1975,Plywood,TA,Typ,12,WD,Normal,280000
463,Sawyer,1Story,1965,MetalSd,TA,Typ,12,WD,Normal,62383
488,NWAmes,1Story,1971,Plywood,TA,Typ,2,WD,Normal,175000
495,OldTown,1Story,1938,MetalSd,TA,Typ,12,WD,Normal,91300
503,Edwards,1Story,1965,MetalSd,TA,Typ,4,WD,Normal,140000
504,Crawfor,1Story,1959,BrkFace,TA,Typ,3,WD,Normal,289000
529,Edwards,1Story,1920,Wd Sdng,TA,Typ,7,WD,Normal,86000
539,Sawyer,1Story,1968,Plywood,TA,Typ,7,WD,Normal,158000
549,OldTown,1Story,1955,MetalSd,TA,Typ,6,WD,Normal,125000
552,OldTown,1Story,1957,BrkFace,TA,Typ,6,WD,Normal,112500
563,Edwards,1Story,1940,WdShing,TA,Typ,7,WD,Normal,108000
587,BrkSide,1Story,1918,Stucco,TA,Typ,5,WD,Normal,130000
599,Crawfor,1Story,1977,Plywood,TA,Typ,3,WD,Normal,217500
621,Edwards,1Story,1914,Stucco,TA,Typ,9,WD,Normal,67000
623,Sawyer,1Story,1977,Plywood,TA,Typ,7,WD,Normal,135000
639,Edwards,1Story,1910,MetalSd,TA,Typ,5,WD,Normal,85000
648,Edwards,1Story,1953,Wd Sdng,TA,Typ,6,WD,Normal,155000
660,Edwards,1Story,1964,MetalSd,TA,Typ,3,WD,Normal,167000
